Call ID,Caller ID,Receiver ID,Call Time,Duration,Call Status,Call Outcome,Wait Time (seconds),Rating,Answered,Direction,Caller Name,Receiver Name
CALL-0001,E3001,R4368,2024-10-06 01:37:21,107,Missed,,7,,No,Incoming,Krishna Chauhan,Aanya Khan
CALL-0002,E7241,R5471,2024-10-17 00:16:21,70,Completed,Unsuccessful,54,5.0,Yes,Incoming,Ishika Verma,Aditi Rao
CALL-0003,E1306,R4112,2024-09-26 05:09:21,198,Missed,,10,,No,Outgoing,Aditya Chauhan,Rahul Patel
CALL-0004,E3157,R3227,2024-09-28 05:34:21,163,Completed,Unsuccessful,30,2.0,Yes,Outgoing,Aarav Joshi,Meera Chauhan
CALL-0005,E8809,R7247,2024-09-25 09:51:21,300,Missed,,52,,No,Incoming,Meera Verma,Vivaan Chauhan
CALL-0006,E2970,R6993,2024-10-07 20:31:21,273,Completed,Follow-up Needed,43,3.0,Yes,Incoming,Arjun Singh,Aditi Chauhan
CALL-0007,E7218,R4813,2024-09-29 03:59:21,236,Missed,,21,,No,Outgoing,Reyansh Verma,Aditya Chauhan
CALL-0008,E2379,R2053,2024-09-30 11:48:21,80,Voicemail,,11,,No,Incoming,Diya Sharma,Krishna Sharma
CALL-0009,E7402,R4737,2024-10-22 10:29:21,221,Missed,,0,,No,Outgoing,Rahul Mehta,Ananya Mehta
CALL-0010,E7010,R9921,2024-09-28 22:14:21,300,Voicemail,,13,,No,Incoming,Aryan Verma,Reyansh Verma
CALL-0011,E7428,R6755,2024-10-19 06:19:21,221,Completed,Follow-up Needed,34,5.0,Yes,Outgoing,Priya Rao,Priya Verma
CALL-0012,E4889,R8525,2024-10-11 21:26:21,192,Missed,,25,,No,Outgoing,Aarav Verma,Reyansh Chauhan
CALL-0013,E6728,R7273,2024-10-15 23:13:21,149,Completed,Successful,48,1.0,Yes,Outgoing,Diya Verma,Arjun Sharma
CALL-0014,E6119,R2772,2024-10-06 11:09:21,103,Missed,,27,,No,Outgoing,Neha Rao,Aryan Sharma
CALL-0015,E2690,R5837,2024-10-21 05:23:21,160,Missed,,26,,No,Incoming,Aditya Joshi,Aditya Sharma
CALL-0016,E9298,R2291,2024-09-28 00:02:21,96,Missed,,49,,No,Outgoing,Diya Singh,Sneha Sharma
CALL-0017,E6444,R6126,2024-09-27 09:42:21,129,Completed,Follow-up Needed,0,4.0,Yes,Outgoing,Karthik Chauhan,Ishaan Rao
CALL-0018,E4582,R6571,2024-10-17 11:07:21,227,Completed,Follow-up Needed,34,4.0,Yes,Outgoing,Rohan Gupta,Diya Singh
CALL-0019,E8229,R8952,2024-10-21 17:14:21,142,Completed,Unsuccessful,49,2.0,Yes,Incoming,Sneha Joshi,Rohan Sharma
CALL-0020,E6119,R9406,2024-10-10 06:14:21,123,Missed,,36,,No,Incoming,Neha Rao,Rohan Khan
CALL-0021,E3598,R5471,2024-10-13 20:15:21,208,Voicemail,,16,,No,Incoming,Ishaan Patel,Aditi Rao
CALL-0022,E2838,R5741,2024-09-29 23:07:21,75,Voicemail,,55,,No,Outgoing,Ananya Mehta,Ananya Sharma
CALL-0023,E6483,R8952,2024-10-13 00:06:21,220,Completed,Successful,49,3.0,Yes,Outgoing,Ananya Gupta,Rohan Sharma
CALL-0024,E6536,R6832,2024-09-30 22:44:21,251,Missed,,48,,No,Outgoing,Aryan Rao,Aditi Verma
CALL-0025,E8795,R3593,2024-10-07 12:55:21,229,Missed,,9,,No,Outgoing,Reyansh Khan,Karthik Patel
CALL-0026,E4562,R9052,2024-09-24 20:31:21,261,Voicemail,,35,,No,Incoming,Sneha Chauhan,Vivaan Verma
CALL-0027,E8596,R1589,2024-10-16 00:36:21,43,Voicemail,,9,,No,Incoming,Neha Khan,Aarav Patel
